,Aula,Categoria,Prof/Aluno,Nome,Link Site Br.ino,Link Direcionado,Status,Obs
0,0,Link,Aluno,EdBlocks,EFAI/blocks,https://www.edblocksapp.com/v3/,Feito,
0,0,Link,Aluno,EdScratch,brino.cc/EFAI/EdScratch.html,https://www.edscratchapp.com/v3/,Feito,
0,0,Link,Aluno,EdPy,brino.cc/EFAI/edpy,https://www.edpyapp.com/v3/#,Feito,
0,0,Link,Aluno,Tinkercad,brino.cc/EFAI/tinkercad,https://www.tinkercad.com/,Feito,
0,0,Link,Professor,Feedback dos professores para as aulas,https://brino.cc/feedback,https://docs.google.com/forms/d/e/1FAIpQLSdDEWpDxEbJhW6X7P8r1629qyNGa-lHOp1Qw6h1y3OGrR7cMw/viewform,Feito,
1,1,Video interno,Professor,Resumo da aula ,https://brino.cc/EFAI/1_1/aula,https://youtu.be/tLfghYf9RHs,Feito,
2,1,Animação Brastoy,Aluno,Montagem da moto,https://brino.cc/EFAI/2_1/moto,https://docs.google.com/presentation/d/12DbFkjXV5tb1fDi8NK-cTqNpQWK4XvZDvjpwky72ge4/edit?usp=sharing,Feito,Verificar slide (Colocar a Beta no slide de encerramento?)
2,1,Plataforma,Aluno,Questões para o jogo da viatura da matemática,https://brino.cc/EFAI/2_1/jogo,https://view.genially.com/67894ae878192a8326ca6880/interactive-content-corrida-das-viaturas-da-matematica,Feito,
2,1,Video interno,Professor,Resumo da aula ,https://brino.cc/EFAI/2_1/aula,https://youtu.be/mnEUc3CUUEY,Feito,
3,1,Video interno,Professor,Resumo da aula ,https://brino.cc/EFAI/3_1/aula,https://youtu.be/Mtzv9ooJ7y8,Feito,
3,1,Video Externo/Interno,Professor,Video de o que é robótica,https://brino.cc/EFAI/3_1/robotica,https://youtu.be/31U0bgFFFbE,Feito,
4,1,Video interno,Professor,Resumo da aula 1,https://brino.cc/EFAI/4_1/aula,https://youtu.be/3UBusSWyk38,Feito,
4,1,Video Externo/Interno,Professor,Video de o que é robótica,https://brino.cc/EFAI/4_1/robotica,https://youtu.be/31U0bgFFFbE,Feito,
4,1,Link,Professor,Musicas pop,https://brino.cc/EFAI/4_1/mus,https://www.youtube.com/playlist?list=PLMC9KNkIncKvYin_USF1qoJQnIyMAfRxl,Feito,
5,1,Video Externo/Interno,Professor,Video de o que é robótica,https://brino.cc/EFAI/5_1/oquee,https://youtu.be/31U0bgFFFbE,Feito,
5,1,Video interno,Professor,Resumo da aula 1,https://brino.cc/EFAI/5_1/aula,https://youtu.be/2BuKIp-a_GU,Feito,
1,2,Video interno,Professor,Resumo da aula ,https://brino.cc/EFAI/1_2/aula,,Fazer,Gravar
1,2,Vídeo,Professor,Video de o que é robótica,https://brino.cc/EFAI/1_2/oquee ,https://youtu.be/12-cB6yTUKc?feature=shared,Feito,
2,2,Link,Aluno,Jogo Blockly quebra cabeça,https://brino.cc/EFAI/2_2/quebra,https://blockly.games/puzzle?lang=pt-br,Feito,
2,2,Animação Brastoy,Aluno,Trator,https://brino.cc/EFAI/2_2/trator,https://docs.google.com/presentation/d/1n2P_K0DEE9dQ3J-4NW-Ks36dEuDG747PXLDeHFqqOSs/edit?usp=sharing,Feito,Verificar slide (Imagem com fundo branco e sem slide de encerramento)
2,2,Video interno,Professor,Resumo da aula ,https://brino.cc/EFAI/2_2/aula,https://youtu.be/o3Z4S4lR6HI,Feito,
2,2,Link,Professor,parte do professor,https://brino.cc/EFAI/2_2/ia,,Feito,Lembrar de explicar como usar as plataformas. Todas elas precisam de login
3,2,Plataforma,Aluno,Blockly Games Labirinto Egito,https://brino.cc/EFAI/3_2/blockly,https://blockly.games/maze?lang=pt-br,Feito,
3,2,Link,Professor,Gabarito Blockly Games - Maze/Labirinto,https://brino.cc/EFAI/3_2/gab,,Fazer,
3,2,Projeto com Edison,Aluno,Montar trator,https://brino.cc/EFAI/3_2/trator,https://docs.google.com/presentation/d/13opfjtkIC2lIUVb7OV6Dna4ZbLYaNJ1OpOvRNthtiGo/edit?usp=sharing,Feito,
3,2,Video interno,Professor,Resumo da aula ,https://brino.cc/EFAI/3_2/aula,https://youtu.be/VoBt-stNQVI,Feito,
3,2,Video Externo/Interno,Professor,Mais sobre as pirmides do egito,https://brino.cc/EFAI/3_2/piramides,https://youtu.be/meXL7aZZe1o?feature=shared,Feito,
4,2,Plataforma,Aluno,Festa da Dança,https://brino.cc/EFAI/4_2/danca,https://studio.code.org/s/dance-2019/lessons/1/levels/1?lang=pt-PT,Feito,
4,2,Video interno,Professor,Resumo da aula 2,https://brino.cc/EFAI/4_2/aula,https://youtu.be/s7rOHtTXjQI,Feito,
4,2,Video Externo/Interno,Professor,Mais sobre programacao,https://brino.cc/EFAI/4_2/programacao,https://youtu.be/KOsDpTdbKbc?feature=shared,Feito,
5,2,Plataforma,Aluno,Blockly Games Labirinto,https://brino.cc/EFAI/5_2/labirinto.html,https://blockly.games/maze?lang=pt-br&level=1&skin=1,Feito,
5,2,Projeto com Edison,Professor,Código do morse com Edison,https://brino.cc/EFAI/5_2/morse,,Feito,
5,2,Video interno,Professor,Resumo da aula 2,https://brino.cc/EFAI/5_2/aula,https://youtu.be/0gySVjj3z-A,Feito,
5,2,Plataforma,Professor,Jogo hora do código star wars,https://brino.cc/EFAI/5_2/starwars,https://studio.code.org/s/starwarsblocks/lessons/1/levels/1?lang=pt-BR,Feito,
5,2,Link,Professor,Observação anexo I (referência),https://brino.cc/EFAI/5_2/Encontrar,https://segredosdomundo.r7.com/esse-e-o-jeito-mais-eficiente-de-escapar-de-um-labirinto/#google_vignette,Feito,
5,2,Link,Professor,Referências 2,https://brino.cc/EFAI/5_2/blockly,https://blockly.games/,Feito,
1,3,Video interno,Professor,Resumo da aula ,https://brino.cc/EFAI/1_3/aula,,Fazer,Gravar
2,3,Video interno,Professor,Resumo da aula ,https://brino.cc/EFAI/2_3/aula,,Fazer,Gravar
3,3,Animação Brastoy,Aluno,Montagem do helicoptero,https://brino.cc/EFAI/3_3/heli,https://docs.google.com/presentation/d/1DVXSdJYrWTZ6XSa8NCGHKMKf5aV08IjgtU8horooT9g/edit?usp=sharing,Feito,
3,3,Link,Aluno,Taj Mahal visto de cima,https://brino.cc/EFAI/3_3/cima,"https://www.youtube.com/watch?v=jjvYbFvkM6M
ou https://www.youtube.com/shorts/KTtjwiFpFi8 ",Feito,
3,3,Video interno,Professor,Resumo da aula ,https://brino.cc/EFAI/3_3/aula,,Fazer,Gravar
